"timestamp.ms","jerk.cost.m2s5"
439761.266,54996.089
440522.984,46488.115
441274.938,47079.451
442056.188,46744.244
442808.141,47749.381
443579.625,41947.585
444360.875,48738.767
445132.359,48416.709
445913.609,47141.704
446685.094,54985.806
447466.344,45769.132
448237.828,45142.142
449028.844,51885.657
449800.328,43946.86
450581.578,48100.136
451353.062,45162.487
452124.547,42977.896
452915.562,44821.092
453696.812,42258.063
454487.828,46829.331
455259.312,39534.006
456040.562,40996.649
456812.047,51225.503
457593.297,49656.949
458364.781,44879.631
459136.266,49786.48
459907.75,39829.144
460689,50587.668
461470.25,50999.129
462251.5,48278.515
463022.984,46362.166
463823.766,49954.81
464585.515,42213.225
465366.734,45049.42
466147.984,47127.433
466929.234,42932.498
467720.25,45791.973
468511.266,45708.176
469302.281,43492.328
470093.297,48186.964
470874.547,44014.814
471626.5,35218.911
472417.516,48361.978
473198.766,45883.015
473980.016,45477.795
474771.031,43890.923
475571.812,43695.679
476353.062,39612.04
477124.547,43411.085
477925.328,44255.035
478687.047,43641.697
479458.531,38910.483
480230.016,42251.713
481011.266,44448.827
481772.984,38413.609
482564,39503.699
483325.719,43414.018
484097.203,45139.878
484878.453,39252.177
485649.938,45120.143
486421.422,44469.464
487202.672,47731.49
487983.922,46212.912
488755.406,43427.3
489556.188,53398.939
490337.438,48681.939
491108.922,46203.557
491880.406,37349.241
492661.656,45361.309
493442.906,45199.589
494243.688,43858.35
495005.406,40312.92
495796.422,43919.97
496558.141,36049.684
497339.391,41331.341
498140.172,44055.881
498911.656,33777.049
499702.672,45015.85
500503.453,46875.116
501265.172,42913.517
502046.422,38962.011
502817.906,40519.959
503628.453,50685.712
504399.938,39313.008
505181.188,46441.462
505972.203,45082.905
506733.922,38042.162
507505.406,39719.412
508276.891,49371.789
509038.609,41587.669
509829.625,51875.622
510601.109,46204.085
511362.828,47606.771
512153.844,44510.499
512925.328,38336.952
513696.812,47518.754
514478.062,40632.016
515239.781,37582.332
516011.266,50158.694
516782.75,38039.599
517534.703,38953.318
518306.188,44828.886
519106.969,44425.31
519868.688,42193.161
520649.938,45096.792
521431.188,39248.284
522212.438,44315.474
522993.688,44854.301
523774.938,39176.871
524536.656,41107.317
525317.906,40792.393
526089.391,46030.065
526880.406,47223.61
527642.125,44672.774
528413.609,42617.44
529214.391,43967.972
529985.875,44040.697
530747.594,37108.247
531538.609,39414.805
532300.328,38771.19
533081.578,45466.212
533872.594,42551.666
534644.078,44482.404
535435.094,48193.4
536196.812,41387.23
536978.062,38157.038
537759.312,48094.638
538521.031,37802.91
539302.281,47765.993
540073.766,38623.794
540855.016,40413.402
541636.266,39259.748
542388.219,36090.687
543179.234,48146.215
543950.719,54194.118
544722.203,49546.9
545483.922,38905.318
546245.641,39129.696
547017.125,44773.857
547769.078,42044.114
548550.328,50878.916
549321.812,40180.618
550083.531,46335.648
550825.719,38410.215
551606.969,50941.797
552368.688,47981.934
553130.406,34519.631
553911.656,45523.113
554673.375,35293.382
555454.625,46801.406
556226.109,47948.416
556997.594,48333.722
557759.312,41183.808
558530.797,43090.302
559292.516,46037.494
560064,45019.255
560815.953,46888.283
561587.438,49564.701
562378.453,44886.568
563130.406,40849.004
563911.656,46741.08
564663.609,44232.112
565454.625,53146.911
566226.109,46093.633
566997.594,50028.209
567759.312,40240.872
568530.797,53134.843
569282.75,40296.949
570064,48523.88
570845.25,50693.677
571616.734,48618.683
572368.688,48240.131
573120.641,38478.575
573911.656,44782.486
574663.609,37510.092
575444.859,44617.354
576216.344,47659.091
576968.297,43071.474
577749.547,49724.472
578521.031,40860.74
579312.047,45107.493
580083.531,47361.202
580835.484,41209.565
581616.734,51389.859
582378.453,39210.804
583179.234,52489.854
583950.719,42547.418
584722.203,45601.107
585493.688,42801.774
586255.406,38413.087
587026.891,49070.374
587798.375,42225.909
588560.094,42463.589
589321.812,37704.834
590112.828,49016.374
590874.547,39733.502
591665.562,43427.225
592427.281,40596.773
593208.531,49040.478
593970.25,37041.176
594741.734,48552.228
595522.984,40792.719
596294.469,44393.71
597065.953,41503.124
597856.969,48009.483
598628.453,43274.953
599409.703,43898.067
600171.422,40222.335
600952.672,42109.862
601733.922,42717.907
602534.703,48291.36
603296.422,48219.522
604077.672,44717.433
604858.922,44514.49
605630.406,40291.556
606411.656,45831.367
607183.141,47642.761
607964.391,40039.509
608755.406,48165.057
609536.656,46358.133
610298.375,42645.958
611099.156,43120.568
611860.875,42713.108
612651.891,51934.291
613442.906,46760.933
614214.391,46985.923
614995.641,39949.459
615776.891,43071.168
616577.672,46199.413
617339.391,44741.483
618110.875,44268.824
618911.656,48334.216
619692.906,40418.206
620454.625,41947.242
621235.875,44852.199
622017.125,44989.206
622827.672,42759.069
623618.688,39701.728
624419.469,45173.099
625200.719,38595.413
626001.5,43202.057
626772.984,40858.206
627573.766,49341.344
628345.25,36725.666
629146.031,44275.575
629927.281,37693.666
630718.297,47147.714
631480.016,41120.368
632261.266,38299.128
633042.516,47222.52
633833.531,45440.911
634614.781,40254.103
635396.031,42236.757
636187.047,48350.761
636987.828,40301.213
637798.375,40453.748
638560.094,39553.854
639360.875,50511.419
640142.125,44235.064
640933.141,43972.902
641724.156,36962.908
642534.703,45759.535
643306.188,45643.197
644106.969,48281.137
644907.75,50282.722
645698.766,50202.825
646489.781,38419.181
647300.328,42886.373
648071.812,42007.943
648872.594,44674.502
649673.375,41693.99
650454.625,37439.179
651265.172,48710.962
652046.422,44727.986
652847.203,43925.687
653657.75,44383.878
654458.531,44013.916
655259.312,40903.995
656040.562,39796.479
656851.109,44381.157
657642.125,47724.304
658442.906,47134.076
659243.688,49660.022
660024.938,43973.211
660815.953,45870.374
661597.203,46626.416
662388.219,45971.017
663179.234,44156.29
663970.25,42814.738
664761.266,41801.671
665562.047,47977.774
666343.297,40106.111
667114.781,37722.586
667905.797,42045.249
668696.812,43599.74
669478.062,38123.878
670269.078,44859.695
671060.094,45004.057
671860.875,39508.702
672651.891,40469.324
673442.906,41763.147
674214.391,38055.985
675024.938,40983.721
675835.484,41891.585
676606.969,36881.362
677407.75,46802.991
678198.766,41550.13
678999.547,47618.976
679800.328,45046.458
680571.812,40957.44
681372.594,42517.642
682163.609,38851.537
682974.156,43944.449
683755.406,35948.198
684556.188,36471.744
685366.734,42100.43
686157.75,31407.888
686958.531,35142.168
687769.078,42910
688589.391,46282.38
689390.172,40829.511
690210.484,43378.434
691001.5,36701.505
691812.047,38309.366
692622.594,40251.169
693423.375,33452.517
694243.688,37465.002
695073.766,42139.758
695864.781,33315.153
696665.562,41028.484
697485.875,45051.534
698276.891,44138.019
699087.438,38633.303
699907.75,35597.13
700698.766,36573.996
701509.312,35819.097
702300.328,40387.151
703110.875,46764.991
703892.125,39743.289
704692.906,38637.88
705493.688,43227.151
706314,37967.374
707105.016,41388.196
707896.031,40128.317
708696.812,42697.57
709507.359,36559.893
710327.672,47015.058
711108.922,32957.342
711909.703,41838.531
712710.484,39711.219
713501.5,38621.05
714312.047,46089.831
715112.828,40357.691
715903.844,39487.864
716694.859,37770.406
717485.875,47168.905
718286.656,33838.33
719077.672,35632.958
719888.219,39998.342
720669.469,41305.182
721470.25,33846.887
722251.5,32889.947
723052.281,40502.029
723843.297,43584.543
724653.844,40078.086
725454.625,40363.229
726255.406,42380.046
727046.422,35546.276
727847.203,33237.971
728647.984,35181.649
729439,41102.741
730239.781,34400.687
731050.328,45381.64
731841.344,40186.791
732622.594,35087.54
733423.375,43637.972
734243.688,46289.899
