# StartTime: 2016/03/14 18:18:53
timestamp.ms,rr.interval.s
438635.77001953125,0.461
439096.77001953125,0.467
439563.77001953125,0.456
440019.77001953125,0.46
440479.77001953125,0.462
440941.77001953125,0.472
441413.77001953125,0.461
441874.77001953125,0.918
442792.77001953125,0.463
443255.77001953125,0.461
443716.77001953125,0.466
444182.77001953125,0.459
444641.77001953125,0.459
445100.77001953125,0.46
445560.77001953125,0.47
446030.77001953125,0.462
446492.77001953125,0.46
446952.77001953125,0.462
447414.77001953125,0.457
447871.77001953125,0.466
448337.77001953125,0.47
448807.77001953125,0.456
449263.77001953125,0.46
449723.77001953125,0.462
450185.77001953125,0.469
450654.77001953125,0.461
451115.77001953125,0.449
451564.77001953125,0.461
452025.77001953125,0.459
452484.77001953125,0.461
452945.77001953125,0.46
453405.77001953125,0.462
453867.77001953125,0.45
454317.77001953125,0.92
455237.77001953125,0.457
455694.77001953125,0.46
456154.77001953125,0.459
456613.77001953125,0.452
457065.77001953125,0.457
457522.77001953125,0.456
457978.77001953125,0.467
458445.77001953125,0.453
458898.77001953125,0.448
459346.77001953125,0.455
459801.77001953125,0.456
460257.77001953125,0.458
460715.77001953125,0.456
461171.77001953125,0.46
461631.77001953125,0.447
462078.77001953125,0.907
462985.77001953125,0.457
463442.77001953125,0.456
463898.77001953125,0.459
464357.77001953125,0.446
464803.77001953125,0.448
465251.77001953125,0.451
465702.77001953125,0.459
466161.77001953125,0.451
466612.77001953125,0.45
467062.77001953125,0.447
467509.77001953125,0.445
467954.77001953125,0.445
468399.77001953125,0.444
468843.77001953125,0.457
469300.77001953125,0.449
469749.77001953125,0.453
470202.77001953125,0.447
470649.77001953125,0.441
471090.77001953125,0.448
471538.77001953125,0.443
471981.77001953125,0.453
472434.77001953125,0.444
472878.77001953125,0.453
473331.77001953125,0.442
473773.77001953125,0.444
474217.77001953125,0.445
474662.77001953125,0.44
475102.77001953125,0.449
475551.77001953125,0.448
475999.77001953125,0.444
476443.77001953125,0.444
476887.77001953125,0.437
477324.77001953125,0.44
477764.77001953125,0.438
478202.77001953125,0.891
479093.77001953125,0.446
479539.77001953125,0.448
479987.77001953125,0.444
480431.77001953125,0.435
480866.77001953125,0.442
481308.77001953125,0.446
481754.77001953125,0.448
482202.77001953125,0.447
482649.77001953125,0.454
483103.77001953125,0.446
483549.77001953125,0.444
483993.77001953125,0.443
484436.77001953125,0.457
484893.77001953125,0.444
485337.77001953125,0.453
485790.77001953125,0.45
486240.77001953125,0.441
486681.77001953125,0.447
487128.77001953125,0.449
487577.77001953125,0.456
488033.77001953125,0.447
488480.77001953125,0.448
488928.77001953125,0.444
489372.77001953125,0.448
489820.77001953125,0.449
490269.77001953125,0.449
490718.77001953125,0.458
491176.77001953125,0.445
491621.77001953125,0.441
492062.77001953125,0.446
492508.77001953125,0.446
492954.77001953125,0.446
493400.77001953125,0.447
493847.77001953125,0.452
494299.77001953125,0.443
494742.77001953125,0.439
495181.77001953125,0.442
495623.77001953125,0.446
496069.77001953125,0.447
496516.77001953125,0.443
496959.77001953125,0.454
497413.77001953125,0.443
497856.77001953125,0.439
498295.77001953125,0.444
498739.77001953125,0.446
499185.77001953125,0.449
499634.77001953125,0.447
500081.77001953125,0.46
500541.77001953125,0.448
500989.77001953125,0.445
501434.77001953125,0.45
501884.77001953125,0.452
502336.77001953125,0.456
502792.77001953125,0.453
503245.77001953125,0.463
503708.77001953125,0.451
504159.77001953125,0.448
504607.77001953125,0.455
505062.77001953125,0.45
505512.77001953125,0.456
505968.77001953125,0.455
506423.77001953125,0.454
506877.77001953125,0.445
507322.77001953125,0.447
507769.77001953125,0.454
508223.77001953125,0.448
508671.77001953125,0.457
509128.77001953125,0.458
509586.77001953125,0.451
510037.77001953125,0.447
510484.77001953125,0.449
510933.77001953125,0.463
511396.77001953125,0.454
511850.77001953125,0.453
512303.77001953125,0.449
512752.77001953125,0.456
513208.77001953125,0.456
513664.77001953125,0.454
514118.77001953125,0.464
514582.77001953125,0.453
515035.77001953125,0.451
515486.77001953125,0.456
515942.77001953125,0.455
516397.77001953125,0.462
516859.77001953125,0.465
517324.77001953125,0.453
517777.77001953125,0.456
518233.77001953125,0.458
518691.77001953125,0.472
519163.77001953125,0.453
519616.77001953125,0.452
520068.77001953125,0.462
520530.77001953125,0.459
520989.77001953125,0.464
521453.77001953125,0.464
521917.77001953125,0.466
522383.77001953125,0.452
522835.77001953125,0.453
523288.77001953125,0.47
523758.77001953125,0.458
524216.77001953125,0.46
524676.7700195313,0.457
525133.7700195313,0.466
525599.7700195313,0.45
526049.7700195313,0.457
526506.7700195313,0.47
526976.7700195313,0.457
527433.7700195313,0.453
527886.7700195313,0.456
528342.7700195313,0.457
528799.7700195313,0.457
529256.7700195313,0.456
529712.7700195313,0.458
530170.7700195313,0.447
530617.7700195313,0.92
531537.7700195313,0.452
531989.7700195313,0.456
532445.7700195313,0.453
532898.7700195313,0.456
533354.7700195313,0.456
533810.7700195313,0.455
534265.7700195313,0.466
534731.7700195313,0.455
535186.7700195313,0.45
535636.7700195313,0.456
536092.7700195313,0.456
536548.7700195313,0.456
537004.7700195313,0.456
537460.7700195313,0.46
537920.7700195313,0.452
538372.7700195313,0.45
538822.7700195313,0.465
539287.7700195313,0.459
539746.7700195313,0.461
540207.7700195313,0.456
540663.7700195313,0.47
541133.7700195313,0.452
541585.7700195313,0.46
542045.7700195313,0.471
542516.7700195313,0.461
542977.7700195313,0.457
543434.7700195313,0.464
543898.7700195313,0.461
544359.7700195313,0.465
544824.7700195313,0.469
545293.7700195313,0.459
545752.7700195313,0.46
546212.7700195313,0.464
546676.7700195313,0.487
547163.7700195313,0.453
547616.7700195313,0.459
548075.7700195313,0.471
548546.7700195313,0.453
548999.7700195313,0.463
549462.7700195313,0.461
549923.7700195313,0.464
550387.7700195313,0.461
550848.7700195313,0.466
551314.7700195313,0.471
551785.7700195313,0.458
552243.7700195313,0.945
553188.7700195313,0.451
553639.7700195313,0.464
554103.7700195313,0.475
554578.7700195313,0.454
555032.7700195313,0.469
555501.7700195313,0.47
555971.7700195313,0.465
556436.7700195313,0.461
556897.7700195313,0.479
557376.7700195313,0.485
557861.7700195313,0.455
558316.7700195313,0.477
558793.7700195313,0.47
559263.7700195313,0.459
559722.7700195313,0.467
560189.7700195313,0.469
560658.7700195313,0.478
561136.7700195313,0.456
561592.7700195313,0.464
562056.7700195313,0.484
562540.7700195313,0.451
562991.7700195313,0.469
563460.7700195313,0.473
563933.7700195313,0.454
564387.7700195313,0.463
564850.7700195313,0.472
565322.7700195313,0.454
565776.7700195313,0.465
566241.7700195313,0.466
566707.7700195313,0.469
567176.7700195313,0.454
567630.7700195313,0.458
568088.7700195313,0.479
568567.7700195313,0.453
569020.7700195313,0.458
569478.7700195313,0.455
569933.7700195313,0.453
570386.7700195313,0.464
570850.7700195313,0.461
571311.7700195313,0.46
571771.7700195313,0.45
572221.7700195313,0.452
572673.7700195313,0.463
573136.7700195313,0.452
573588.7700195313,0.461
574049.7700195313,0.462
574511.7700195313,0.454
574965.7700195313,0.914
575879.7700195313,0.467
576346.7700195313,0.457
576803.7700195313,0.907
577710.7700195313,0.454
578164.7700195313,0.456
578620.7700195313,0.457
579077.7700195313,0.448
579525.7700195313,0.451
579976.7700195313,0.453
580429.7700195313,0.458
580887.7700195313,0.447
581334.7700195313,0.45
581784.7700195313,0.446
582230.7700195313,0.45
582680.7700195313,0.45
583130.7700195313,0.45
583580.7700195313,0.456
584036.7700195313,0.448
584484.7700195313,0.439
584923.7700195313,0.451
585374.7700195313,0.448
585822.7700195313,0.454
586276.7700195313,0.456
586732.7700195313,0.455
587187.7700195313,0.444
587631.7700195313,0.446
588077.7700195313,0.898
588975.7700195313,0.454
589429.7700195313,0.458
589887.7700195313,0.443
590330.7700195313,0.448
590778.7700195313,0.45
591228.7700195313,0.461
591689.7700195313,0.449
592138.7700195313,0.452
592590.7700195313,0.449
593039.7700195313,0.449
593488.7700195313,0.454
593942.7700195313,0.453
594395.7700195313,0.46
594855.7700195313,0.453
595308.7700195313,0.449
595757.7700195313,0.455
596212.7700195313,0.45
596662.7700195313,0.461
